,STOP_ID_ANONY,SUSPECTED_CRIME_DESCRIPTION,SUSPECT_ARRESTED_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR
56,57,ASSAULT,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),22,MALE,BLACK,5.6,160,THN,BRO,XXX
57,58,ASSAULT,Y,Y,Y,N,N,N,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),22,MALE,BLACK,5.6,140,THN,BRO,BLK
58,59,ROBBERY,Y,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,Y,16,MALE,BLACK,5.6,145,THN,BRO,BLK
59,60,ROBBERY,Y,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),17,MALE,BLACK,5.8,160,THN,BRO,BLK
60,61,ROBBERY,Y,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,16,MALE,BLACK HISPANIC,5.8,160,MED,BRO,BLK
61,62,ROBBERY,Y,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,18,MALE,BLACK,5.8,160,THN,BRO,BLK
62,63,ROBBERY,Y,Y,Y,N,N,N,(null),Y,(null),N,(null),(null),Y,(null),(null),(null),(null),Y,15,MALE,BLACK,5.7,145,THN,BRO,BLK
63,64,PETIT LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,Y,18,MALE,BLACK HISPANIC,6.1,210,MED,BRO,BLK
64,65,PETIT LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,Y,20,MALE,WHITE HISPANIC,5.1, ,MED,BRO,BLK
65,66,PETIT LARCENY,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,Y,30,FEMALE,BLACK,5.3,100,THN,BRO,BRO
66,67,GRAND LARCENY AUTO,Y,N,Y,N,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),36,FEMALE,WHITE,5.1,120,THN,BLU,BLD
67,68,CPW,N,N,N,Y,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,24,MALE,BLACK,6,170,THN,BRO,XXX
68,69,PETIT LARCENY,N,Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),28,MALE,BLACK,5.9,200,HEA,BLK,BLK
69,70,GRAND LARCENY,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,53,MALE,ASIAN / PACIFIC ISLANDER,5.11,170,THN,BRO,BRO
70,71,OTHER,N,Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),(null),MALE,WHITE, ,160,THN,BRO,BLK
71,72,ASSAULT,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,Y,18,MALE,WHITE,5.9,150,THN,BRO,BRO
72,73,ASSAULT,N,N,Y,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,Y,17,MALE,BLACK,5.9,150,THN,BRO,BLK
73,74,PETIT LARCENY,Y,N,Y,N,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,50,MALE,BLACK,5.1,160,MED,BLK,BLK
74,75,PETIT LARCENY,Y,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,53,MALE,WHITE HISPANIC,5.8,150,THN,BRO,BLK
75,76,PETIT LARCENY,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,55,MALE,BLACK,6,195,MED,BRO,BLK
76,77,MENACING,N,Y,N,Y,Y,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),(null),(null),74,MALE,WHITE HISPANIC,5.1,180,MED,GRY,GRY
77,78,CPW,N,N,N,N,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),43,MALE,WHITE,5.1,240,MED,ZZZ,BLN
78,79,PETIT LARCENY,Y,N,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,56,MALE,BLACK,5.11,175,THN,BRO,BLK
79,80,BURGLARY,Y,Y,Y,N,N,Y,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,31,MALE,BLACK,6.5,200,THN,BRO,BLK
80,81,GRAND LARCENY AUTO,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,Y,36,FEMALE,BLACK,5.3,125,THN,BRO,BLK
81,82,CRIMINAL MISCHIEF,N,N,N,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),(null),Y,17,MALE,BLACK,5.1,160,THN,BRO,BLK
82,83,CRIMINAL MISCHIEF,N,N,N,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),(null),Y,19,MALE,BLACK,5.11,180,MED,BRO,BLK
83,84,PETIT LARCENY,Y,N,Y,N,N,Y,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,24,MALE,WHITE HISPANIC,5.7,150,MED,BRO,BLK
84,85,PETIT LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,Y,28,MALE,WHITE HISPANIC,5.6,150,MED,BRO,BLK
85,86,PETIT LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,Y,28,MALE,BLACK,5.4,135,MED,BRO,BLK
86,87,PETIT LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,Y,27,MALE,BLACK HISPANIC,5.9,160,MED,BRO,BLK
87,88,PETIT LARCENY,Y,Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),27,MALE,BLACK,5.7,180,MED,BLK,BLK
88,89,ASSAULT,Y,N,Y,N,N,Y,(null),Y,(null),Y,(null),(null),Y,(null),(null),(null),(null),Y,36,MALE,BLACK,6,170,THN,BLK,BRO
89,90,BURGLARY,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),24,MALE,BLACK,5.11,150,THN,BRO,BLK
90,91,ASSAULT,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,14,FEMALE,BLACK,5.8,135,MED,BRO,BLK
91,92,ASSAULT,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,13,FEMALE,BLACK,5.1,165,MED,BRO,BLK
92,93,ASSAULT,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,16,FEMALE,BLACK,5.1,175,HEA,BRO,BLK
93,94,CPW,Y,Y,Y,Y,Y,N,(null),Y,(null),Y,(null),Y,(null),(null),(null),(null),Y,(null),20,MALE,BLACK,5.7,120,THN,BRO,BRO
94,95,PETIT LARCENY,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,24,MALE,WHITE HISPANIC,5.9,200,MED,BRO,BLK
95,96,PETIT LARCENY,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,38,FEMALE,BLACK,5.3,125,MED,BRO,BLK
96,97,OTHER,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),(null),MALE,WHITE,5.8, ,U,BRO,BLD
97,98,PETIT LARCENY,Y,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,33,MALE,WHITE HISPANIC,5.7,180,MED,BRO,BLK
98,99,PETIT LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,22,FEMALE,BLACK,5.6,140,MED,BRO,ZZZ
99,100,ASSAULT,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,28,MALE,WHITE HISPANIC,5.1,170,MED,BLK,BLK
100,101,ROBBERY,Y,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,27,MALE,BLACK,5.11,130,THN,BRO,BRO
101,102,ROBBERY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),21,MALE,WHITE HISPANIC,5.5,160,THN,BRO,RED
102,103,PETIT LARCENY,Y,Y,Y,N,N,Y,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,47,MALE,BLACK HISPANIC,6.2,150,THN,BRO,BLD
103,104,TERRORISM,N,N,N,N,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),59,MALE,BLACK,6.5,230,MED,BRO,BLK
104,105,OTHER,N,N,N,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),38,MALE,WHITE,5.6,160,THN,BLU,BLN
105,106,OTHER,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),16,MALE,BLACK,6,170,U,BRO,BLK
106,107,TERRORISM,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),25,(null),WHITE,5.7,150,THN,BRO,BLK
107,108,PETIT LARCENY,Y,N,Y,N,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,49,MALE,BLACK,5.9,175,THN,BRO,BLK
108,109,ASSAULT,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,Y,55,MALE,WHITE,5.1,150,THN,BRO,WHI
109,110,OTHER,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),31,MALE,BLACK,6.2,200,THN,BLK,BLK
110,111,GRAND LARCENY,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,18,FEMALE,WHITE HISPANIC,5.3,150,MED,BRO,BRO
111,112,GRAND LARCENY,Y,Y,Y,N,N,Y,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),30,MALE,BLACK,6,180,MED,BRO,BLK
112,113,GRAND LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),50,FEMALE,BLACK,5.9,150,THN,ZZZ,XXX
113,114,GRAND LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),45,FEMALE,BLACK,5.9,200,HEA,ZZZ,XXX
114,115,GRAND LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),50,FEMALE,BLACK,5.1,160,THN,ZZZ,BLK
115,116,PETIT LARCENY,N,N,Y,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),45,MALE,BLACK,5.8,150,THN,BRO,BLK
116,117,BURGLARY,N,Y,N,N,N,N,(null),(null),(null),N,Y,(null),Y,(null),(null),(null),Y,Y,32,MALE,WHITE HISPANIC,5.7,160,MED,BRO,BLD
117,118,ROBBERY,Y,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,15,MALE,BLACK,5.6,130,THN,BRO,BLK
118,119,ROBBERY,Y,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,16,MALE,BLACK,5.9,150,MED,BLU,BLK
119,120,ASSAULT,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,26,MALE,BLACK,5.9,180,MED,BRO,BRO
120,121,GRAND LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,28,MALE,BLACK,5.5,150,THN,BRO,BLK
121,122,CRIMINAL TRESPASS,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),43,MALE,WHITE,6,170,MED,BRO,BRO
122,123,ROBBERY,Y,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,Y,49,MALE,BLACK,5.1,217,MED,BRO,BLD
123,124,OTHER,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),FEMALE,ASIAN / PACIFIC ISLANDER, , ,THN,(null),(null)
124,125,CPW,N,Y,Y,N,N,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),(null),(null),40,MALE,BLACK,5.8,190,MED,BRO,BLD
125,126,PETIT LARCENY,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),29,MALE,BLACK,5.8,185,MED,BLK,BLK
126,127,GRAND LARCENY,N,N,N,N,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),28,MALE,BLACK,5.1,160,MED,BRO,BLK
127,128,PETIT LARCENY,Y,N,Y,N,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,30,MALE,BLACK,6.4,200,MED,BRO,BLK
128,129,PETIT LARCENY,Y,Y,Y,N,N,N,(null),Y,(null),Y,(null),(null),Y,(null),(null),(null),(null),Y,36,MALE,BLACK HISPANIC,5.6,185,THN,BRO,BLK
129,130,ASSAULT,Y,Y,Y,N,N,N,(null),(null),Y,Y,(null),Y,Y,(null),(null),(null),Y,(null),41,MALE,BLACK,5.1,250,MED,BRO,BLK
130,131,PETIT LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),15,MALE,WHITE,5.5,120,THN,HAZ,BRO
131,132,PETIT LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),15,MALE,BLACK,5.4,150,MED,BRO,BLK
132,133,CRIMINAL MISCHIEF,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,Y,41,MALE,WHITE,5.9,180,THN,HAZ,GRY
133,134,ROBBERY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,40,MALE,BLACK,5.1,200,MED,BRO,BLD
134,135,BURGLARY,N,N,N,N,N,N,(null),(null),(null),N,Y,(null),(null),(null),(null),(null),(null),(null),69,MALE,WHITE,5.1,180,MED,ZZZ,XXX
135,136,PETIT LARCENY,N,N,N,N,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),17,MALE,BLACK,6.2,200,MED,BRO,BLK
136,137,PETIT LARCENY,Y,N,Y,N,(,Y,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,34,FEMALE,BLACK,5.2,140,MED,BRO,BLK
137,138,GRAND LARCENY,N,N,N,N,(,N,(null),(null),(null),N,Y,(null),(null),(null),Y,(null),(null),(null),26,MALE,BLACK,5.7,180,THN,BRO,BLK
138,139,CPW,N,Y,N,Y,Y,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),(null),(null),39,MALE,WHITE,5.1,160,THN,BRO,BLK
139,140,PETIT LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),61,MALE,WHITE,5.9,176,MED,BRO,GRY
140,141,PETIT LARCENY,N,N,N,N,N,Y,(null),(null),(null),N,Y,(null),(null),(null),(null),(null),(null),(null),50,MALE,WHITE HISPANIC,5.8,180,MED,BRO,BLK
